Event,Date,Status,Tickets Sold,Tickets Available
Out in Tech Madrid | Monthly Mixer,Repeating Event,Live,0,200
Out in Tech Houston | Monthly Mixer,Repeating Event,Live,0,150
"Out in Tech Seattle | Monthly Women, Transgender, &amp; Nonbinary Happy Hour",Repeating Event,Live,0,100
Out in Tech London | Monthly Mixer,Repeating Event,Live,0,200
Out in Tech Amsterdam | Third Thursdays,Repeating Event,Live,0,40
Out in Tech Bay Area | South Bay | Bi-Monthly Mixer @ Joe &amp; the Juice,Repeating Event,Live,0,75
Out in Tech Denver | April Mixer,"Tuesday, April 30, 2024 6:00 PM",Live,74,26
Out in Tech NY | Innovation &amp; Inclusion: Learnings from LGBTQ+ Founders,"Thursday, May 2, 2024 6:30 PM",Live,120,0
OIT Banglore Virtual Meetup,"Thursday, May 2, 2024 8:00 PM",Live,4,246
Out in Tech Columbus | Meet Us At The Kee,"Friday, May 3, 2024 6:00 PM",Live,27,33
Out in Tech LA | Career Progression for LGBTQ+ Professionals,"Wednesday, May 8, 2024 6:00 PM",Live,114,136
Out in Tech Philly | Diversitech/Tech Week Mixer @ Tmoms,"Friday, May 10, 2024 6:00 PM",Live,115,85
Out in Tech SF Bay Area | East Bay Park Social,"Saturday, May 11, 2024 1:00 PM",Live,30,70
Out in Tech SF Bay Area | Spring-Zing Happy Hour @ The Lookout,"Monday, May 13, 2024 5:00 PM",Live,207,93
Author Talk: Hijab Butch Blues with Lamya H,"Tuesday, May 14, 2024 8:00 PM",Live,69,181
OIT Detroit | Resume WERKshop with Resume Rescue,"Wednesday, May 29, 2024 6:00 PM",Live,12,28
Out In Tech NY  Women &amp; TGX Series:  NY Liberty's Basketball Game,"Friday, May 31, 2024 6:30 PM",Live,14,11
Out in Tech | Pride: All Together Now,"Wednesday, June 5, 2024 5:00 PM",Live,68,2612
Out in Tech Boston x Stonewall Sports| Pride Cruise,"Sunday, June 23, 2024 10:00 AM",Live,38,42
Out in Tech Leadership Institute,"Thursday, September 12, 2024 6:00 PM",Live,106,624
Upstart LGBTQ+ ERG Holiday Virtual Mixer,"Thursday, December 8, 2022 3:00 PM",Draft,0,500
Out in Tech | Black Mental Health - Book Discussion (6 Week Event),"Wednesday, January 4, 2023 7:00 PM",Draft,0,500
Out In Tech Comes to Durham!,"Wednesday, February 22, 2023 6:00 PM",Draft,0,0
UX Night | Mindfulness as a QTBIPOC Creative,"Tuesday, May 9, 2023 7:00 PM",Draft,0,0
